Indicativo;31/01/2020;29/02/2020;31/03/2020;30/04/2020;31/05/2020;30/06/2020;31/07/2020;31/08/2020;30/09/2020;31/10/2020;30/11/2020;31/12/2020;anual;Año
1505;18;17;17;23;11;16;10;15;12;22;15;27;203;2020
3191E;14;4;9;18;11;6;4;3;8;9;13;16;115;2020
3129;9;1;10;16;11;5;2;3;8;7;12;14;98;2020
3196;12;1;10;18;10;5;6;3;6;7;12;12;102;2020
3200;12;2;12;16;9;6;5;3;7;7;10;12;101;2020
3195;12;1;10;16;8;4;2;3;7;7;11;17;98;2020
3175;11;0;9;16;10;6;7;2;8;7;9;11;96;2020
2462;5;7;5;19;11;7;7;4;9;13;11;9;107;2020
6155A;7;1;14;9;7;1;1;1;3;6;7;7;64;2020
6000A;6;0;9;14;4;1;3;1;2;2;5;12;59;2020
7178I;9;3;11;12;5;5;3;3;3;4;6;5;69;2020
7228;5;2;10;12;6;4;3;2;3;4;7;5;63;2020
7031;6;4;9;13;4;7;3;2;4;4;7;2;65;2020
9262;9;6;;;;;;7;6;14;6;21;;2020
9263D;15;7;12;;;;5;12;11;18;11;20;;2020
1484C;17;16;14;23;8;13;0;12;12;20;15;26;176;2020
1495;21;16;11;23;10;16;3;10;14;23;15;24;186;2020
2867;9;2;12;20;7;6;4;3;8;9;11;18;109;2020
C929I;5;1;7;5;3;5;0;0;5;9;9;16;65;2020
C430E;0;1;4;6;1;3;0;0;4;3;4;8;34;2020
C139E;7;1;11;4;2;9;0;2;5;18;10;22;91;2020
C449C;5;0;13;6;6;4;0;2;5;11;10;16;78;2020
C447A;12;5;16;14;9;12;2;6;8;14;12;22;132;2020
C429I;2;0;4;4;0;4;0;0;2;4;4;9;33;2020
2465;13;8;10;20;12;10;6;5;10;14;11;17;136;2020
5796;7;3;12;12;10;1;1;3;4;4;14;13;84;2020
5783;8;2;10;12;8;1;1;2;6;4;13;9;76;2020
2030;11;6;5;26;9;9;8;5;12;13;11;13;128;2020
0016A;8;1;11;11;9;7;2;4;4;4;6;3;70;2020
9981A;4;1;12;14;9;5;2;5;4;2;7;8;73;2020
9381I;4;2;9;17;11;9;7;7;8;8;10;11;103;2020
8368U;5;0;11;15;9;8;6;4;5;4;7;7;81;2020
8416;6;4;14;14;8;5;5;2;7;5;8;7;85;2020
8414A;8;4;15;14;10;3;4;3;6;4;9;7;87;2020
2422;15;5;10;25;11;6;5;5;7;12;11;15;127;2020
2539;12;3;7;21;8;6;4;6;7;8;10;14;106;2020
2614;13;3;9;21;9;2;3;3;6;14;14;15;112;2020
9390;5;2;7;19;11;10;5;6;7;5;10;15;102;2020
9434;9;2;13;18;12;11;5;5;10;11;;10;;2020
