Indicativo;31/01/2020;29/02/2020;31/03/2020;30/04/2020;31/05/2020;30/06/2020;31/07/2020;31/08/2020;30/09/2020;31/10/2020;30/11/2020;31/12/2020;anual;Año
1387;19;16;18;22;8;21;10;17;10;20;16;23;200;2020
1387E;18;14;14;21;8;;5;14;;18;17;21;;2020
1428;17;16;14;25;12;14;6;13;13;22;15;26;193;2020
8175;4;0;10;14;11;3;4;3;4;5;8;6;72;2020
8178D;4;1;13;13;12;2;6;4;5;5;9;7;81;2020
8025;7;3;14;12;7;5;4;5;4;5;8;4;78;2020
8019;5;5;14;12;8;8;1;3;5;2;6;5;74;2020
6325O;5;1;;;;3;2;1;2;2;6;0;;2020
9091O;12;9;12;17;10;13;5;13;13;20;9;23;156;2020
1212E;21;13;17;22;15;15;13;16;14;21;12;21;200;2020
1208H;19;11;12;18;10;15;9;14;13;20;11;23;175;2020
1249I;19;11;19;22;15;22;17;18;17;22;12;25;219;2020
2444;9;3;11;19;9;4;6;4;9;10;11;11;106;2020
4452;10;1;7;;7;0;1;0;3;7;12;17;;2020
B954;11;1;11;12;5;4;4;4;6;9;9;8;84;2020
B893;8;3;15;10;7;6;1;4;8;11;7;16;96;2020
B278;6;0;13;10;4;4;2;2;9;9;5;15;79;2020
B228;6;;;;;4;2;2;6;8;7;12;;2020
0200E;11;9;13;10;8;13;14;7;12;8;9;10;124;2020
76;7;1;9;8;7;11;6;7;9;8;7;6;86;2020
1082;17;16;18;17;13;17;13;14;13;24;12;27;201;2020
2331;15;8;8;25;5;10;6;6;9;19;10;17;138;2020
3469A;14;7;11;19;9;3;1;1;6;11;15;20;117;2020
5973;8;3;;11;8;2;0;2;3;5;11;13;;2020
5960;9;4;11;;12;3;2;1;4;6;17;15;;2020
5910;8;2;9;14;7;3;2;2;4;5;13;11;80;2020
1111;18;14;14;18;13;19;10;17;15;22;11;22;193;2020
1109;19;10;14;15;13;20;11;13;12;19;10;26;182;2020
8500A;7;3;12;17;7;4;6;5;8;6;10;6;91;2020
5000C;;1;;;7;;;1;2;;13;;;2020
4121;9;5;11;21;9;2;3;1;2;7;13;17;100;2020
5402;7;2;12;18;;0;1;4;3;6;12;13;;2020
8096;8;3;12;17;11;4;4;1;6;7;10;11;94;2020
1014;13;14;13;18;11;18;14;16;10;22;10;20;179;2020
1024E;15;13;15;20;11;20;14;18;14;22;10;23;195;2020
367;7;5;14;15;7;17;8;9;10;9;9;7;117;2020
5530E;7;1;11;15;8;2;0;2;5;5;8;14;78;2020
5514;9;1;11;14;10;2;2;1;7;5;10;15;87;2020
3013;8;7;9;;;;;;;;12;12;;2020
4642E;10;3;13;18;9;3;0;0;3;;;;;2020
9898;10;0;;;;;;3;4;9;9;15;;2020
5270B;7;1;;;;;1;1;2;4;9;13;;2020
9170;;;;;;;5;10;9;14;12;24;;2020
C249I;4;0;7;3;0;1;1;1;2;5;6;6;36;2020
C649I;7;3;11;4;3;3;0;2;4;8;5;15;65;2020
C029O;5;0;8;3;0;2;2;0;1;4;9;9;43;2020
2661;14;11;8;18;11;7;4;8;9;10;13;16;129;2020
1549;14;13;12;22;11;12;7;9;12;17;12;22;163;2020
9771C;11;2;11;16;11;11;6;5;7;8;10;11;109;2020
