Indicativo;31/01/2023;28/02/2023;31/03/2023;30/04/2023;31/05/2023;30/06/2023;31/07/2023;31/08/2023;30/09/2023;31/10/2023;30/11/2023;31/12/2023;anual;Año
1387;11.3;11.1;14.0;15.3;17.2;20.0;20.4;21.5;20.9;18.8;14.8;12.3;16.5;2023
1387E;9.5;8.5;12.5;13.9;16.7;19.6;19.4;;20.0;17.9;13.6;10.8;;2023
1428;7.7;8.5;11.0;13.5;15.7;18.8;;20.0;18.5;16.3;11.7;8.6;;2023
8175;5.5;6.1;12.3;16.2;17.2;22.4;28.3;27.1;21.7;17.8;11.5;6.7;16.1;2023
8178D;6.4;6.7;13.1;16.7;17.5;22.7;28.7;27.4;21.8;18.0;12.2;7.7;16.6;2023
8025;11.7;10.9;16.5;18.2;;24.5;28.2;27.7;24.5;21.6;17.8;13.3;;2023
8019;11.7;10.9;16.1;18.0;19.5;24.9;28.5;27.3;24.2;21.3;17.6;;;2023
6325O;13.1;13.6;15.8;18.9;20.3;25.1;28.5;28.5;25.8;21.9;16.1;13.9;20.1;2023
9091O;4.9;4.7;10.5;11.9;13.9;19.1;19.8;21.2;19.7;16.6;11.1;7.0;13.4;2023
1212E;9.3;8.7;12.9;13.1;15.0;19.0;19.5;20.1;19.9;18.1;13.8;10.9;15.0;2023
1208H;11.0;10.3;14.1;14.6;16.5;20.3;21.3;21.6;21.3;19.2;15.0;12.4;16.5;2023
2444;3.4;4.2;9.4;12.6;13.4;19.0;22.8;23.0;17.8;15.0;9.5;5.3;13.0;2023
4452;9.0;10.0;14.6;19.0;20.6;25.8;26.9;28.2;23.0;20.6;14.2;9.3;18.4;2023
B954;11.1;;14.3;16.3;18.9;23.7;27.8;26.6;23.8;21.8;16.9;13.3;;2023
B893;10.3;9.4;12.6;14.2;17.5;22.7;26.3;25.0;22.9;21.0;15.5;12.3;17.5;2023
B278;10.0;9.3;13.0;15.2;18.5;23.7;27.7;26.3;23.6;21.3;15.5;12.1;18.0;2023
B228;12.5;11.7;15.7;17.2;20.1;24.9;28.7;27.7;25.4;23.0;18.0;15.2;20.0;2023
0200E;9.2;10.4;14.2;16.2;18.1;23.5;25.6;26.0;23.2;20.2;14.8;12.1;17.8;2023
0076;9.5;9.6;13.9;15.4;18.3;;26.4;26.3;23.5;20.9;15.0;;;2023
1082;8.8;9.2;14.1;14.1;16.5;21.2;21.2;22.4;22.4;19.9;14.1;11.3;16.3;2023
2331;2.9;3.5;8.8;11.3;12.7;18.3;20.9;21.7;18.2;14.8;9.1;4.5;12.2;2023
3469A;7.7;8.5;13.4;18.0;18.9;24.4;27.1;28.1;22.1;19.8;13.0;8.4;17.5;2023
5973;13.4;14.1;16.8;19.8;20.9;24.9;25.6;26.7;23.7;22.7;17.7;14.2;20.0;2023
5960;11.0;12.0;15.6;19.5;20.8;25.0;26.8;;22.9;21.5;15.6;;;2023
5910;11.8;13.0;15.7;19.3;20.6;24.9;25.9;27.4;23.1;22.1;16.6;12.6;19.4;2023
6001;12.5;13.2;;17.5;18.8;22.2;24.0;24.4;22.1;21.0;16.5;14.2;;2023
1111;10.4;10.1;13.7;13.4;15.9;19.8;20.6;21.2;21.2;19.2;14.9;12.1;16.0;2023
1109;10.0;9.5;13.7;14.2;16.8;20.9;;22.0;21.9;19.1;14.7;11.4;;2023
8500A;11.1;10.4;15.8;17.1;19.6;24.4;27.7;27.6;23.9;21.7;16.9;12.8;19.1;2023
5000C;14.1;13.9;17.2;19.5;20.2;23.1;27.2;26.7;23.6;21.7;18.5;15.9;20.1;2023
4121;6.4;7.8;13.7;18.3;19.1;24.8;29.4;28.8;22.0;18.6;12.1;7.1;17.3;2023
5402;9.3;10.7;14.9;19.5;21.5;26.4;29.7;29.9;24.2;21.2;;9.5;;2023
8096;5.2;5.9;11.2;15.1;16.0;21.2;26.5;26.0;20.4;16.7;10.6;6.8;15.1;2023
1024E;7.9;8.7;13.0;12.6;15.1;19.6;19.7;20.3;21.2;18.7;13.1;10.8;15.1;2023
1014;8.7;8.8;14.0;13.9;17.3;21.8;22.0;22.5;22.2;19.5;14.0;11.2;16.3;2023
0367;7.1;8.1;;14.6;17.7;;26.4;26.1;22.6;20.2;;9.0;;2023
5530E;7.2;8.8;13.0;17.7;18.7;23.6;28.8;28.2;22.6;;12.3;7.7;;2023
5514;7.3;8.6;13.1;17.6;18.3;23.1;28.7;28.2;22.3;18.6;12.3;8.4;17.2;2023
3013;2.5;2.3;8.3;10.9;12.6;18.8;21.7;21.4;17.4;13.7;8.1;3.7;11.8;2023
4642E;11.8;12.4;16.1;20.1;21.2;25.0;27.4;28.8;23.2;21.5;16.7;12.3;19.7;2023
9898;4.5;6.4;11.9;15.2;17.6;22.2;25.4;25.9;21.6;18.0;11.0;7.0;15.6;2023
5270B;8.5;10.6;14.7;19.9;19.8;25.0;29.9;30.0;23.2;20.4;13.6;9.4;18.8;2023
9170;6.0;5.5;10.9;14.8;17.1;21.0;22.5;25.5;20.9;16.1;10.3;5.7;14.7;2023
C249I;19.0;17.3;19.8;20.9;;24.7;;;24.7;25.2;;;;2023
C649I;19.1;;;21.3;;24.1;25.7;;;26.2;23.0;;;2023
C029O;18.4;17.3;21.3;21.8;22.1;24.7;26.1;27.6;25.2;;22.5;19.5;;2023
2661;3.6;5.3;9.0;12.8;13.8;;20.7;22.0;17.8;14.7;9.4;3.9;;2023
1549;5.2;7.1;11.4;15.0;16.4;20.9;22.0;23.6;19.4;16.5;10.7;5.3;14.5;2023
9771C;5.3;7.0;13.7;16.9;19.3;24.2;27.5;27.5;23.4;19.7;12.3;6.7;17.0;2023
1505;6.7;6.4;11.3;13.5;15.1;19.2;19.3;20.9;18.6;16.1;11.3;7.0;13.8;2023
3191E;5.1;6.3;10.7;15.4;15.4;20.7;25.4;25.9;18.8;15.9;10.0;6.6;14.7;2023
3129;5.9;6.6;11.8;16.4;17.9;23.3;27.6;27.5;20.6;17.7;11.4;6.5;16.1;2023
3196;6.4;7.7;12.5;17.3;17.9;23.6;27.7;27.7;20.7;17.8;11.3;7.4;16.5;2023
3200;6.5;7.8;12.7;17.7;18.5;24.0;28.2;28.4;21.4;18.5;11.7;7.2;16.9;2023
3195;6.3;7.7;12.7;17.3;18.0;23.5;27.9;28.0;20.8;17.7;11.3;7.1;16.5;2023
3175;5.4;6.0;11.2;15.2;16.6;22.6;26.5;;20.3;17.1;11.1;6.3;;2023
2462;-0.7;0.6;4.6;8.7;8.7;14.5;18.8;19.5;13.3;10.7;5.5;3.7;9.0;2023
6155A;13.1;12.8;16.9;19.3;20.5;24.8;29.5;;24.9;21.3;17.6;13.7;;2023
6000A;14.4;14.2;17.1;19.7;20.6;23.8;28.6;28.0;24.2;22.4;18.7;16.0;20.6;2023
7178I;11.7;11.0;17.5;20.4;21.1;26.0;30.7;30.1;25.5;22.5;18.0;13.0;20.6;2023
7228;10.7;10.0;16.6;19.7;20.7;25.6;30.4;29.7;25.1;21.8;16.8;12.0;19.9;2023
7031;10.5;11.0;15.2;17.9;19.3;23.5;27.7;27.4;24.5;20.5;15.8;11.9;18.8;2023
9263D;;5.2;10.7;12.9;15.1;20.8;22.4;;;17.2;;;;2023
9262;5.4;6.5;11.8;13.7;15.8;21.2;22.6;;20.8;17.7;;7.8;;2023
1690A;8.5;9.2;13.4;16.4;18.3;22.5;23.3;24.9;21.3;18.7;13.6;9.3;16.6;2023
1484C;;11.3;13.0;15.4;;20.7;20.7;21.9;20.3;18.3;13.6;10.4;;2023
1495;8.7;10.3;11.9;;16.8;19.7;19.6;21.3;19.5;17.7;12.8;9.4;;2023
2867;3.7;4.3;9.2;12.8;15.1;19.9;21.4;22.2;18.5;15.5;9.5;4.3;13.0;2023
2870;5.4;6.5;11.2;14.8;16.3;21.6;;24.8;20.1;17.0;11.2;6.0;;2023
C929I;19.6;18.7;21.0;20.9;21.7;24.0;24.6;25.6;25.2;26.6;23.3;21.4;22.7;2023
C430E;3.0;1.2;11.1;10.1;9.3;14.6;19.6;19.6;13.9;13.8;10.4;8.3;11.2;2023
C139E;18.8;17.7;20.6;20.4;21.2;23.0;24.1;25.4;24.4;25.0;22.2;20.2;21.9;2023
C449C;19.3;18.5;21.5;21.7;22.7;24.8;26.5;27.6;25.7;26.4;23.2;20.9;23.2;2023
C447A;13.9;12.5;17.9;17.0;17.3;20.2;21.5;24.2;20.6;23.2;18.9;16.0;18.6;2023
C429I;19.3;17.7;21.9;21.5;22.3;24.1;26.1;27.5;25.2;27.5;23.5;20.8;23.1;2023
2465;3.9;5.0;10.0;13.4;13.9;19.6;23.5;24.1;18.9;16.3;9.8;5.3;13.6;2023
5796;11.0;12.6;16.3;20.4;21.8;26.7;29.3;30.0;24.2;21.9;15.9;11.5;20.1;2023
5783;10.4;12.2;16.0;21.0;22.0;26.3;29.4;29.9;24.0;22.0;15.7;;;2023
2030;3.9;4.2;9.6;12.5;13.6;18.5;22.2;23.1;18.2;15.1;9.8;5.8;13.0;2023
0016A;8.4;8.8;13.6;15.7;18.4;23.4;26.6;26.9;23.1;20.0;14.6;10.9;17.5;2023
9981A;10.9;10.1;16.1;18.7;21.2;25.4;28.9;29.0;24.4;21.5;16.5;12.6;19.6;2023
9381I;3.1;3.3;9.9;12.6;13.9;19.9;24.3;23.5;19.9;16.1;9.8;5.3;13.5;2023
8368U;4.0;4.3;10.4;13.9;14.7;20.3;25.4;24.7;20.2;16.6;10.3;5.9;14.2;2023
3260B;6.8;8.1;13.6;18.2;19.1;24.6;29.0;29.1;22.3;19.0;12.5;7.4;17.5;2023
8416;11.7;10.8;16.8;17.7;19.4;24.3;27.8;27.9;24.2;22.2;18.0;13.7;19.5;2023
8414A;10.7;9.6;15.9;17.5;19.4;24.5;28.2;28.1;23.8;21.5;17.3;12.3;19.1;2023
2422;4.4;5.7;10.7;14.4;15.8;21.4;24.0;24.7;19.9;16.5;10.3;4.7;14.4;2023
2539;;4.3;;12.3;13.8;19.6;21.8;22.5;18.4;15.3;9.4;4.0;;2023
2614;5.0;5.7;11.2;14.8;16.7;22.1;24.3;25.3;20.3;16.9;11.0;5.2;14.9;2023
9390;4.1;3.9;10.7;13.6;15.0;20.6;24.8;24.5;20.5;16.9;10.6;5.7;14.2;2023
9434;6.8;7.5;14.7;17.3;19.5;24.3;26.8;27.5;23.3;20.2;13.8;8.7;17.5;2023
