Indicativo;31/01/2023;28/02/2023;31/03/2023;30/04/2023;31/05/2023;30/06/2023;31/07/2023;31/08/2023;30/09/2023;31/10/2023;30/11/2023;31/12/2023;anual;Año
1387;21;5;19;11;10;15;15;14;13;19;24;19;185;2023
1387E;16;6;18;10;12;12;13;;14;21;22;19;;2023
1428;19;6;21;11;14;12;12;13;18;21;22;20;189;2023
8175;5;4;4;1;16;13;3;0;7;8;3;2;66;2023
8178D;5;6;4;0;10;15;6;0;6;9;4;3;68;2023
8025;1;4;3;2;13;2;1;;;1;0;2;;2023
8019;2;5;3;3;15;3;3;1;7;1;1;1;45;2023
6325O;2;6;2;2;7;3;1;0;5;2;0;2;32;2023
9091O;17;2;12;12;17;13;5;6;13;16;20;18;151;2023
1212E;20;5;13;12;18;17;10;18;17;21;23;20;194;2023
1208H;19;7;11;11;17;14;7;16;;;;;;2023
1249I;17;;;;;;;;;;;;;2023
2444;10;1;7;2;8;13;2;0;;12;9;6;;2023
4452;9;4;5;1;6;6;0;0;6;15;10;7;69;2023
B954;7;11;3;1;12;3;2;4;11;3;3;3;63;2023
B893;12;9;6;6;17;8;4;5;11;9;8;11;106;2023
B278;14;11;3;5;12;9;3;4;9;6;3;2;81;2023
B228;12;9;3;5;10;7;2;3;8;7;5;3;74;2023
0200E;5;8;3;5;16;10;10;8;6;8;11;5;95;2023
76;3;6;1;5;9;4;4;7;3;5;5;1;53;2023
1082;21;8;14;14;12;16;13;15;16;17;25;19;190;2023
2331;10;1;12;10;17;16;5;5;15;17;20;18;146;2023
3469A;8;4;8;2;10;7;2;0;9;17;13;12;92;2023
5973;6;3;6;2;4;3;0;0;;;;;;2023
5960;6;5;6;3;6;4;0;1;5;13;5;9;63;2023
5910;7;3;5;3;4;3;0;1;5;12;7;9;59;2023
1111;23;11;18;16;14;17;18;13;17;19;24;21;211;2023
1109;19;9;17;16;16;14;16;14;14;21;23;19;198;2023
8501;;;;;;;;2;;;;;;2023
8500A;1;7;6;3;16;12;5;5;7;5;2;2;71;2023
5000C;11;9;4;0;9;9;0;0;3;10;4;6;65;2023
4121;8;1;4;1;7;9;1;2;5;12;8;5;63;2023
5402;8;5;8;2;8;5;0;0;6;11;8;8;69;2023
8096;6;2;5;3;15;15;4;1;11;14;17;6;99;2023
1024E;18;4;18;14;13;17;21;20;16;15;25;21;202;2023
1014;20;3;17;14;12;14;14;17;13;17;23;24;188;2023
367;2;9;3;12;16;11;9;4;7;6;8;4;91;2023
5530E;6;4;3;0;11;9;0;1;4;12;2;8;60;2023
5514;7;3;5;2;12;9;2;1;5;12;5;10;73;2023
3013;5;4;7;6;14;14;2;3;13;17;15;9;109;2023
4642E;7;7;7;2;8;5;0;0;9;13;11;10;79;2023
9898;5;3;3;2;5;17;4;2;9;12;9;5;76;2023
5270B;6;4;3;1;8;8;0;1;4;8;4;9;56;2023
9170;14;8;8;6;13;15;6;3;14;13;14;11;125;2023
C249I;8;9;1;2;2;0;0;0;0;2;0;3;27;2023
C649I;14;9;1;3;5;7;1;2;11;4;6;7;70;2023
C029O;5;12;2;2;3;2;0;0;4;4;4;4;42;2023
2661;11;1;13;6;11;;2;1;13;18;15;11;;2023
1549;11;4;11;7;10;13;4;2;14;18;18;14;126;2023
9771C;9;4;1;6;11;14;3;5;10;11;7;2;83;2023
1505;;4;;8;9;10;7;8;;19;;18;;2023
3191E;10;1;6;1;10;11;2;0;16;18;12;7;94;2023
3129;5;3;5;4;10;15;0;0;11;14;7;7;81;2023
3196;8;3;6;4;10;10;0;1;14;13;10;4;83;2023
3200;6;2;7;4;10;11;0;1;15;14;10;4;84;2023
3195;8;2;6;3;10;12;0;;;;;4;;2023
3175;4;1;4;3;10;12;0;0;8;11;10;4;67;2023
2462;6;2;7;4;14;13;1;1;10;17;9;8;92;2023
6155A;3;7;2;2;7;8;0;0;;6;0;6;;2023
6000A;10;7;1;0;11;3;0;1;4;4;6;4;51;2023
7178I;1;4;2;3;16;4;1;1;4;2;0;2;40;2023
7228;2;11;4;2;15;8;2;1;3;3;0;3;54;2023
7031;4;7;4;2;12;7;1;1;3;3;0;4;48;2023
9263D;7;2;11;11;14;12;1;;;13;17;18;;2023
9262;9;1;8;11;11;11;1;;8;11;;12;;2023
1690A;;5;12;7;10;10;3;2;;;;;;2023
1484C;18;8;24;14;12;12;8;4;;;;;;2023
1495;18;7;21;11;11;12;7;7;14;20;23;17;168;2023
2867;8;4;6;2;13;14;1;0;11;15;11;5;90;2023
C929I;6;10;1;6;4;5;0;1;3;4;5;9;54;2023
C430E;9;4;0;1;2;2;0;1;6;5;4;2;36;2023
C139E;20;15;2;4;1;3;0;1;9;4;9;9;77;2023
C449C;17;15;1;3;3;4;2;4;6;8;3;4;70;2023
C447A;20;19;3;4;12;7;8;4;15;9;8;8;117;2023
C429I;4;7;1;1;3;4;0;1;4;1;4;2;32;2023
2465;9;;;4;13;12;2;0;10;14;12;10;;2023
5796;8;5;6;3;5;6;0;1;5;12;6;9;66;2023
5783;6;2;6;3;7;4;0;0;6;11;9;9;63;2023
2030;7;2;11;8;10;13;7;2;14;14;20;12;120;2023
0016A;7;4;1;5;8;5;6;3;7;5;4;5;60;2023
9981A;4;5;1;3;8;12;9;2;4;5;3;2;58;2023
