Indicativo;31/01/2023;28/02/2023;31/03/2023;30/04/2023;31/05/2023;30/06/2023;31/07/2023;31/08/2023;30/09/2023;31/10/2023;30/11/2023;31/12/2023;anual;Año
9381I;4;4;5;6;12;19;1;1;10;8;4;6;80;2023
8368U;2;1;2;5;12;;1;1;5;;3;;;2023
3260B;;3;;1;8;9;0;0;;13;;;;2023
8416;3;5;1;3;16;9;5;2;6;6;1;3;60;2023
8414A;4;5;1;3;17;12;5;2;10;5;2;4;70;2023
2422;11;4;10;4;14;15;1;1;12;16;17;11;116;2023
2539;9;1;8;3;11;13;0;1;11;16;16;8;97;2023
2614;7;0;6;1;7;9;0;0;7;15;14;9;75;2023
9390;8;2;5;3;11;15;1;3;11;12;9;9;89;2023
9434;7;3;1;3;6;11;3;2;9;13;8;4;70;2023
