Indicativo;31/01/2024;29/02/2024;31/03/2024;30/04/2024;31/05/2024;30/06/2024;31/07/2024;31/08/2024;30/09/2024;31/10/2024;30/11/2024;31/12/2024;anual;Año
5783;12.3;13.6;14.8;17.9;21.1;24.4;28.4;29.3;24.0;19.8;;12.1;;2024
2030;5.9;7.5;8.1;10.6;13.2;17.8;22.7;23.3;15.4;12.9;9.8;5.4;12.7;2024
0016A;10.5;12.2;12.5;15.0;18.2;21.5;25.4;26.6;21.1;18.3;14.9;10.9;17.3;2024
9981A;12.4;14.3;15.0;17.8;21.0;24.5;28.2;29.0;23.3;19.7;15.6;11.7;19.4;2024
9381I;6.4;7.6;9.4;11.1;14.6;19.6;24.3;24.1;16.6;14.0;9.9;4.9;13.5;2024
8368U;7.0;7.9;10.1;12.3;16.0;20.3;25.0;24.7;17.8;14.6;10.5;5.7;14.3;2024
3260B;9.2;10.8;12.2;15.5;18.8;23.4;29.0;29.6;21.7;17.2;13.6;7.9;17.4;2024
8416;14.5;15.1;15.4;17.3;20.5;23.7;26.8;27.9;24.1;21.6;18.0;13.6;19.9;2024
8414A;13.3;14.0;14.7;16.9;20.5;23.9;27.3;27.9;23.8;20.8;16.8;12.2;19.3;2024
2422;6.4;8.4;9.8;12.1;14.7;19.8;24.6;25.1;17.8;15.0;11.5;5.0;14.2;2024
2539;5.8;7.3;8.2;10.2;12.5;17.8;22.6;23.0;16.0;13.8;10.5;4.4;12.7;2024
2614;6.6;9.1;10.3;13.2;15.5;20.6;25.1;25.8;18.3;15.3;11.7;5.4;14.7;2024
9390;6.8;8.3;10.2;12.1;15.1;20.1;24.8;24.6;17.1;14.6;10.6;5.6;14.2;2024
9434;7.8;10.9;13.2;15.4;18.8;23.4;27.6;27.4;20.3;17.1;12.5;7.9;16.9;2024
