Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
3175;12.7;15.2;16.6;21.2;24.9;29.2;35.7;35.6;26.8;21.4;17.5;13.5;22.5
2462;6.6;6.0;6.4;10.7;13.5;18.0;25.2;26.0;17.0;10.8;8.6;5.2;12.8
6155A;18.8;20.1;20.3;23.4;25.6;29.0;31.9;32.9;29.6;;22.0;18.9;
6000A;19.4;19.9;20.6;22.0;23.8;26.1;30.4;30.8;28.0;24.8;21.4;18.8;23.8
7178I;19.9;21.6;23.0;25.4;28.9;31.3;36.1;35.4;31.2;27.4;23.3;18.9;26.9
7228;19.6;21.3;23.1;25.5;28.9;31.4;36.5;35.8;31.5;27.4;22.8;18.5;26.9
7031;17.9;19.6;20.4;21.0;24.0;26.8;30.4;30.7;28.2;25.6;21.8;18.1;23.7
9263D;11.0;13.9;16.4;18.6;21.1;26.0;30.6;30.2;21.8;19.8;15.7;9.8;19.6
9262;11.1;13.6;15.8;17.8;20.6;25.2;29.7;29.6;21.6;19.8;16.2;10.2;19.3
1690A;15.2;18.1;17.9;23.3;23.2;28.0;32.6;34.0;26.4;22.4;20.1;13.9;22.9
1484C;14.4;16.6;16.3;21.1;21.0;24.9;27.8;29.2;23.4;20.8;19.4;14.1;20.8
1495;13.7;15.8;15.2;19.5;19.2;23.1;26.6;27.8;22.5;19.8;18.5;13.6;19.6
2867;11.9;13.9;15.3;19.0;21.8;27.1;32.9;33.9;25.4;20.3;17.7;10.0;20.8
2870;12.8;14.5;15.8;19.8;22.0;26.9;32.7;33.7;25.1;19.9;17.9;10.8;21.0
C929I;23.7;23.1;22.3;24.0;23.3;24.1;25.2;26.3;25.7;25.3;25.4;22.6;24.3
C430E;12.2;13.4;9.8;14.8;16.4;19.0;25.1;25.0;20.0;16.2;13.0;9.2;16.2
C139E;23.3;22.6;21.4;22.8;22.2;23.2;24.2;25.7;25.2;24.8;25.0;22.4;23.6
C449C;24.2;24.0;23.3;25.2;25.1;26.5;29.7;30.0;27.5;26.5;26.6;23.3;26.0
C447A;20.3;20.2;18.1;22.8;20.7;20.8;24.7;25.3;22.9;22.2;22.6;18.4;21.6
C429I;25.1;25.2;24.2;27.0;25.8;26.0;28.3;29.8;27.6;27.1;26.6;23.2;26.3
2465;11.3;12.0;14.0;17.6;20.2;25.3;31.6;32.1;23.5;18.6;15.8;9.7;19.3
5796;18.7;19.6;20.3;24.9;29.0;31.0;37.0;37.1;31.1;24.8;22.2;18.1;26.2
5783;17.5;18.9;20.0;24.9;29.6;31.4;36.7;37.0;30.7;24.4;;17.8;
2030;11.1;12.9;13.8;17.4;20.1;24.9;31.4;31.8;21.4;17.3;15.2;10.9;19.0
0016A;16.1;18.0;17.7;21.0;23.9;26.4;30.4;32.1;26.5;23.1;19.9;16.6;22.6
9981A;17.8;20.3;21.5;24.9;28.1;30.9;34.6;35.6;28.9;24.7;20.0;15.8;25.3
9381I;11.7;14.1;16.0;19.4;22.5;27.3;33.2;32.7;23.0;19.1;15.9;10.7;20.5
8368U;13.3;15.4;17.3;20.9;24.7;28.4;34.0;33.7;25.1;20.5;16.3;11.8;21.8
3260B;13.9;16.3;17.8;22.8;26.5;30.6;37.4;37.5;28.8;22.4;18.8;13.9;23.9
8416;18.7;20.0;19.7;22.0;25.1;27.4;30.3;31.5;28.2;25.6;21.9;18.3;24.1
8414A;18.6;20.2;20.2;23.1;26.2;28.5;32.2;32.7;28.7;25.6;21.4;18.1;24.6
2422;10.1;13.6;15.2;18.7;21.5;26.9;33.0;33.6;24.4;19.7;16.2;8.6;20.1
2539;10.2;12.9;14.0;17.1;19.9;25.5;31.6;31.9;23.0;18.8;15.6;8.8;19.1
2614;9.9;14.1;15.7;20.1;22.3;27.8;33.5;34.5;25.3;19.9;16.2;9.2;20.7
9390;12.0;14.5;16.5;20.0;22.7;27.6;33.2;32.9;23.5;19.5;16.6;11.7;20.9
9434;12.2;15.8;19.1;21.5;25.2;29.9;34.9;34.3;25.2;20.9;16.4;11.2;22.2
