Indicativo;31/01/2021;28/02/2021;31/03/2021;30/04/2021;31/05/2021;30/06/2021;31/07/2021;31/08/2021;30/09/2021;31/10/2021;30/11/2021;31/12/2021;anual;Año
9381I;0.5;8.6;7.7;9.9;14.6;19.1;21.9;22.5;18.1;12.8;5.3;6.6;12.3;2021
8368U;1.4;8.8;8.6;10.9;15.6;19.7;23.0;23.4;18.9;14.1;6.7;7.3;13.2;2021
3260B;4.3;11.2;12.0;14.6;19.2;23.7;27.1;28.3;;17.4;9.4;;;2021
8416;11.6;14.6;13.4;15.1;19.8;23.4;25.9;26.4;24.4;20.2;14.9;14.5;18.7;2021
8414A;10.1;13.7;12.6;14.5;19.6;23.3;25.9;26.5;24.0;19.6;13.8;13.2;18.1;2021
2422;3.5;9.1;9.8;11.7;15.4;20.0;22.4;23.3;18.9;14.4;6.3;7.2;13.5;2021
2539;2.5;8.1;8.2;9.9;13.1;18.0;20.2;21.3;17.5;12.9;5.2;6.5;12.0;2021
2614;3.9;9.2;9.9;12.3;16.0;20.3;22.8;23.4;19.2;14.8;6.8;7.5;13.8;2021
9390;2.0;9.4;8.4;10.8;15.4;19.8;22.7;23.1;18.8;13.3;6.1;7.0;13.1;2021
9434;7.0;11.6;12.0;13.7;18.6;23.3;25.8;25.8;22.2;16.4;10.2;7.6;16.2;2021
