Indicativo;31/01/2022;28/02/2022;31/03/2022;30/04/2022;31/05/2022;30/06/2022;31/07/2022;31/08/2022;30/09/2022;31/10/2022;30/11/2022;31/12/2022;anual;Año
1387;11.4;11.9;12.8;13.2;17.0;18.2;20.4;20.2;19.6;18.3;14.9;13.2;15.9;2022
1387E;9.2;9.9;;11.8;16.0;17.6;20.6;20.8;18.7;17.4;13.3;11.7;;2022
1428;8.4;9.2;10.1;11.2;16.0;16.5;21.5;21.1;17.5;15.8;11.3;10.3;14.1;2022
8175;5.4;9.1;9.6;11.0;19.1;24.9;27.8;26.3;21.8;18.7;11.8;10.1;16.3;2022
8178D;6.4;9.9;9.7;11.4;19.6;25.2;28.1;26.6;22.2;19.0;12.5;10.5;16.8;2022
8025;10.8;13.2;14.0;16.1;21.0;25.2;27.6;28.2;25.3;21.8;17.7;14.9;19.7;2022
8019;10.8;12.6;13.5;15.1;20.5;24.9;28.1;28.2;25.2;21.7;17.3;14.6;19.4;2022
6325O;13.2;14.2;15.6;16.0;21.2;24.2;28.2;29.0;24.4;23.2;18.0;15.5;20.2;2022
9091O;4.9;6.7;8.7;9.8;16.0;19.5;21.0;22.2;17.2;17.4;9.9;8.8;13.5;2022
1212E;9.3;10.2;11.0;;;17.4;19.6;19.9;;17.5;13.5;;;2022
1208H;10.9;11.7;12.5;12.8;16.6;18.5;21.1;21.4;19.7;19.2;14.9;13.6;16.1;2022
1249I;7.9;9.5;10.9;11.5;15.7;17.7;20.8;20.5;18.1;17.9;12.3;10.9;14.5;2022
2444;4.2;6.4;6.6;8.4;16.4;20.0;24.9;23.7;17.0;15.5;8.9;7.4;13.3;2022
4452;8.9;11.2;12.9;15.0;22.3;24.2;29.4;27.2;23.2;20.8;14.1;12.9;18.5;2022
B954;10.3;11.8;13.7;14.5;19.2;24.0;26.7;27.7;;;17.4;14.6;;2022
B893;9.5;10.9;12.5;14.1;19.8;24.7;26.5;28.0;25.9;20.7;16.2;13.8;18.6;2022
B278;9.0;10.6;12.8;14.5;19.9;24.4;26.9;27.3;24.4;21.2;16.4;13.8;18.4;2022
B228;11.7;13.3;14.4;16.1;21.2;25.7;28.6;29.0;;23.4;18.7;15.9;;2022
0200E;10.2;11.9;10.8;14.1;20.8;24.7;26.8;27.2;22.5;20.7;15.2;12.7;18.1;2022
76;9.5;12.0;13.0;;;24.8;27.0;27.3;24.0;21.2;16.2;12.6;;2022
1082;8.8;10.1;12.8;12.7;17.8;20.3;22.6;23.4;20.2;20.7;14.0;12.4;16.3;2022
2331;3.2;5.0;6.6;8.1;14.7;19.0;21.8;21.9;16.7;15.4;8.0;7.2;12.3;2022
3469A;8.4;10.9;11.5;13.5;21.1;24.0;29.9;27.9;22.4;20.4;13.1;12.0;17.9;2022
5973;13.9;15.3;15.1;16.9;21.8;23.4;27.2;25.4;23.1;22.7;18.3;16.7;20.0;2022
5960;11.3;13.3;;;21.8;;28.3;26.6;23.3;23.0;16.4;15.1;;2022
5910;11.9;13.9;14.3;16.2;21.7;23.7;27.8;25.3;22.8;22.5;16.8;15.6;19.4;2022
6001;13.1;13.7;13.4;14.7;;20.8;23.7;24.0;;20.8;16.8;15.6;;2022
1111;10.0;11.1;12.7;12.6;16.3;18.3;20.6;21.3;19.5;20.1;14.6;13.1;15.9;2022
1109;9.1;10.8;13.1;13.3;17.3;19.8;22.0;22.2;20.1;20.7;14.3;12.7;16.3;2022
8500A;10.7;13.1;13.2;15.8;20.5;25.2;27.4;28.2;24.8;21.5;17.0;14.1;19.3;2022
5000C;14.2;15.2;;16.5;20.2;23.3;25.3;25.8;24.3;21.0;18.6;16.8;;2022
4121;6.1;9.8;10.5;12.6;21.0;25.2;29.6;27.9;22.2;19.5;12.5;10.3;17.3;2022
5402;9.6;12.5;13.6;15.2;22.5;25.9;30.4;29.0;24.5;22.2;15.0;13.3;19.5;2022
8096;5.9;8.9;8.4;11.1;19.0;23.6;27.7;26.1;20.4;18.1;10.6;8.7;15.7;2022
1014;8.1;10.4;13.2;13.2;18.2;20.7;22.9;23.6;20.2;20.6;14.2;12.5;16.5;2022
1024E;8.1;9.8;11.7;11.4;16.3;18.7;20.8;21.4;18.6;19.6;13.4;11.9;15.1;2022
367;6.5;;10.7;13.1;19.2;24.9;27.0;26.7;21.9;19.5;;10.6;;2022
5530E;7.2;10.6;11.0;12.7;20.5;24.6;28.7;27.5;22.5;20.7;12.6;11.1;17.5;2022
5514;7.2;10.5;10.8;12.4;19.8;24.4;28.2;27.0;22.5;21.0;12.9;11.2;17.3;2022
3013;2.0;5.2;6.1;8.6;15.4;19.3;22.9;21.8;16.6;14.5;7.6;6.1;12.2;2022
4642E;12.3;14.2;14.4;16.3;21.7;24.3;28.0;25.6;23.7;21.9;16.8;15.0;19.5;2022
9898;5.3;9.0;9.7;12.0;19.9;24.9;26.8;26.8;20.9;19.0;11.1;8.0;16.1;2022
5270B;9.8;12.5;11.9;13.8;22.6;25.7;30.9;28.8;23.4;22.3;14.6;12.5;19.1;2022
9170;6.0;8.5;9.7;12.2;19.0;23.7;25.4;25.3;20.3;18.6;10.9;8.2;15.7;2022
C249I;17.9;19.1;18.6;19.6;21.5;23.1;25.4;24.8;24.8;23.5;22.4;20.3;21.8;2022
C649I;;19.2;;19.6;21.6;22.7;24.8;24.6;24.3;23.5;22.6;;;2022
C029O;18.1;19.8;18.5;20.2;;23.6;;25.9;;24.4;22.3;;;2022
2661;4.8;6.5;7.5;9.3;16.0;18.5;23.4;22.7;16.9;;8.0;;;2022
1549;5.8;8.5;10.1;11.7;18.9;20.2;25.2;24.6;18.8;16.9;10.2;8.9;15.0;2022
9771C;4.3;9.5;11.3;14.1;21.5;26.7;28.0;27.9;22.7;20.2;12.9;8.3;17.3;2022
1505;6.5;7.9;9.0;10.8;15.7;16.9;20.7;;17.2;16.3;10.9;9.3;;2022
3191E;6.7;9.1;7.8;10.4;18.1;22.5;27.4;25.6;19.2;16.8;9.8;7.4;15.1;2022
3129;5.4;8.7;9.8;12.2;19.8;24.3;28.9;27.3;21.3;18.2;11.5;9.2;16.4;2022
3196;7.1;10.1;10.2;12.5;20.4;24.8;29.8;27.9;21.6;18.9;11.8;9.4;17.0;2022
3200;6.9;10.1;10.5;12.9;21.1;25.1;30.1;28.3;22.1;19.3;12.1;9.6;17.3;2022
3195;7.1;10.2;;12.9;20.6;24.8;;27.9;21.5;18.5;;9.4;;2022
3175;4.6;8.8;10.9;11.5;;23.5;28.2;26.9;20.5;17.8;10.7;8.9;;2022
2462;1.3;3.7;1.0;3.3;12.0;15.6;21.8;19.6;12.7;11.0;4.4;3.0;9.1;2022
6155A;13.2;14.9;14.9;17.0;21.7;26.1;26.8;27.6;25.8;21.8;18.0;15.1;20.2;2022
6000A;13.4;14.9;;;20.6;24.3;26.4;27.3;25.1;22.5;19.2;17.1;;2022
7178I;11.1;13.8;14.1;15.7;22.1;27.4;29.7;29.7;26.6;22.2;17.7;15.2;20.4;2022
7228;10.0;13.0;14.0;15.6;21.8;26.7;29.1;29.2;26.1;21.7;17.0;14.2;19.9;2022
7031;10.8;12.4;13.9;14.7;19.6;23.3;26.3;27.2;24.2;20.4;16.4;13.3;18.5;2022
9263D;4.8;7.5;9.4;10.6;17.9;22.4;24.2;24.9;19.6;18.8;10.2;8.4;14.9;2022
9262;;8.6;10.1;11.3;18.6;;24.2;24.9;19.9;19.5;11.1;9.2;;2022
1690A;8.5;10.3;11.7;13.7;19.6;20.4;26.1;25.8;;;;12.2;;2022
1484C;10.8;11.8;12.6;13.1;18.1;18.5;23.4;21.9;19.8;17.8;13.3;12.4;16.1;2022
1495;;10.7;11.4;;17.5;;23.3;;19.2;17.1;12.4;11.5;;2022
2867;4.0;6.1;8.1;9.9;17.3;20.1;24.2;23.3;17.8;16.0;9.4;8.2;13.7;2022
2870;6.0;8.2;9.4;11.4;18.7;21.3;26.1;25.1;19.4;17.4;10.7;9.6;15.3;2022
C929I;19.6;19.4;18.9;19.7;21.3;22.2;23.4;24.0;24.5;23.5;22.7;21.0;21.7;2022
C430E;3.6;4.4;5.3;8.4;13.3;15.2;19.7;19.0;13.5;12.4;10.7;7.2;11.1;2022
C139E;19.1;19.0;18.3;19.1;21.2;22.0;23.3;23.9;24.1;23.1;22.3;20.9;21.4;2022
C449C;19.3;19.7;19.2;20.2;22.3;23.8;26.4;26.3;25.1;24.2;22.5;21.2;22.5;2022
C447A;14.4;14.7;13.3;;18.0;18.3;21.8;21.7;20.5;19.4;18.1;16.2;;2022
C429I;19.0;19.8;18.7;19.6;21.8;22.9;25.3;25.3;25.0;23.7;22.6;20.7;22.0;2022
2465;5.2;7.5;7.8;9.2;17.1;21.0;26.1;24.6;18.0;17.2;9.5;8.3;14.3;2022
5796;11.5;13.7;14.2;15.9;22.5;25.5;30.6;28.6;25.1;23.3;16.8;14.8;20.2;2022
5783;11.5;13.8;14.1;15.9;23.2;26.1;30.6;28.1;24.9;22.8;16.5;;;2022
2030;4.5;6.5;6.2;9.1;16.0;20.4;24.4;23.2;17.5;15.4;8.7;6.9;13.2;2022
