Indicativo;31/01/2022;28/02/2022;31/03/2022;30/04/2022;31/05/2022;30/06/2022;31/07/2022;31/08/2022;30/09/2022;31/10/2022;30/11/2022;31/12/2022;anual;Año
0016A;8.4;11.3;12.0;14.6;19.6;24.4;26.4;27.0;23.2;20.2;15.0;11.7;17.8;2022
9981A;10.0;13.3;12.7;16.0;21.8;26.6;28.8;29.0;24.8;22.0;16.2;12.5;19.5;2022
9381I;3.3;6.1;7.1;9.6;16.7;21.8;24.9;24.0;18.3;16.9;9.5;7.7;13.8;2022
8368U;3.8;7.0;8.1;10.5;17.4;22.9;25.8;24.5;19.4;16.9;10.3;8.0;14.6;2022
3260B;;10.2;11.0;13.1;21.2;25.6;30.6;29.0;22.8;20.5;12.9;10.6;;2022
8416;11.3;13.3;13.3;15.6;20.4;25.3;27.4;28.2;25.3;21.7;18.0;15.3;19.6;2022
8414A;9.9;12.6;12.9;15.1;20.3;25.8;27.8;28.5;24.9;21.3;16.8;14.2;19.2;2022
2422;4.9;7.2;8.8;10.5;18.1;21.8;26.0;25.2;19.1;17.1;9.6;8.3;14.7;2022
2539;3.9;5.9;7.5;8.9;15.9;19.6;24.0;23.2;17.2;15.8;8.5;7.4;13.2;2022
2614;4.6;7.2;9.4;11.3;18.6;21.5;26.4;25.6;19.5;17.2;10.1;9.1;15.0;2022
9390;4.0;6.9;7.8;10.4;17.7;22.7;25.2;24.7;19.2;17.8;10.1;8.3;14.6;2022
9434;6.3;10.4;11.1;14.1;21.6;26.7;28.0;28.2;22.6;20.3;12.8;9.2;17.6;2022
