Indicativo;31/01/2022;28/02/2022;31/03/2022;30/04/2022;31/05/2022;30/06/2022;31/07/2022;31/08/2022;30/09/2022;31/10/2022;30/11/2022;31/12/2022;anual;Año
3195;12.3;8.7;;62.7;6.2;0.3;9.8;4.9;43.9;27.8;45.4;145.4;;2022
3175;11.3;7.7;57.5;46.7;7.4;0.4;0.7;5.8;30.9;31.0;32.4;102.7;334.5;2022
2462;45.7;22.9;364.4;163.6;38.0;3.6;0.5;4.4;97.8;135.3;216.6;203.2;1296.0;2022
6155A;6.3;2.0;221.8;21.1;12.0;0.0;0.3;1.7;1.6;2.2;9.4;137.4;415.8;2022
6000A;3.0;5.6;69.4;114.4;4.4;0.2;3.2;0.6;2.2;5.2;9.4;44.2;261.8;2022
7178I;13.8;2.4;140.0;96.6;34.2;4.8;0.0;3.8;93.6;29.0;13.6;8.8;440.6;2022
7228;12.2;5.1;159.9;92.1;49.1;7.3;0.0;4.2;59.9;8.1;11.4;10.0;419.3;2022
7031;12.5;0.3;170.7;100.3;13.6;0.4;0.2;1.6;44.0;63.3;31.0;47.2;485.1;2022
9263D;84.1;8.2;61.7;61.8;2.7;7.0;17.8;16.1;23.2;40.8;99.4;51.0;473.8;2022
9262;;8.7;55.7;56.8;3.7;;7.4;11.0;21.7;53.4;114.8;50.3;;2022
1690A;20.2;17.2;78.0;55.0;15.6;79.8;7.0;16.0;;;;184.8;;2022
1484C;83.2;42.6;123.0;96.4;49.0;86.2;4.4;15.0;93.6;290.4;343.1;403.4;1630.3;2022
1495;78.5;35.3;75.4;59.8;56.3;75.9;2.8;13.2;122.2;311.7;412.9;500.5;1744.5;2022
2867;6.3;3.9;47.8;71.7;3.2;8.1;11.8;6.8;15.5;72.5;43.3;87.7;378.6;2022
2870;3.1;2.1;41.9;;2.1;22.7;0.0;6.5;16.5;61.1;45.8;89.2;;2022
C929I;15.1;33.4;28.9;12.3;0.4;0.0;0.4;0.0;64.5;0.0;0.5;77.6;233.1;2022
C430E;96.4;87.8;21.4;11.6;0.0;0.0;0.0;10.8;125.2;0.8;0.0;33.0;387.0;2022
C139E;41.3;31.7;38.8;19.8;1.2;10.1;0.1;7.6;187.3;1.1;8.2;91.3;438.5;2022
